Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	33	0	0.987154373	341.82505	343.579514	337.441887	345.641593	8.19970651	0	0	0	0	0	3
64	33	0	1.00282349	341.819523	343.716315	338.21184	345.641593	7.42975313	1.57159783	0	21.1	0	0	3
65	34	0	1.01849261	341.065232	343.805483	339.388549	345.641593	6.25304416	1.57159783	0	25.1	0	0	3
66	34	0	1.03416172	340.409162	343.837378	339.856534	345.641593	5.78505988	1.57159783	0	27.1	0	0	3
67	34	0	1.04983084	340.40342	343.854468	340.40342	345.641593	5.23817323	1.57159783	0	30	0	0	3
68	35	0	1.06549996	339.560446	343.804497	339.560446	345.641593	6.08114759	1.57159783	0	25.8	0	0	3
69	35	0	1.08116908	339.55446	343.734244	339.55446	345.641593	6.08713381	1.57159783	0	25.8	0	0	3
70	35	0	1.09683819	338.797575	343.610775	338.797575	345.641593	6.84401881	1.57159783	0	22.9	0	0	3
71	36	0	1.11250731	338.783507	343.486791	338.783507	345.641593	6.85808687	1.57159783	0	22.9	0	0	3
72	36	0	1.12817643	337.982991	343.307631	337.982991	345.641593	7.65860258	1.57159783	0	20.5	0	0	3
73	36	0	1.14384554	337.96792	343.1099	337.96792	345.641593	7.67367379	1.57159783	0	20.4	0	0	3
74	36	0	1.15951466	337.16144	342.866896	337.16144	345.641593	8.48015383	1.57159783	0	18.5	0	0	3
75	37	0	1.17518378	337.154191	342.623603	337.154191	345.641593	8.48740262	1.57159783	0	18.5	0	0	3
76	37	0	1.19085289	336.316977	342.339111	336.316977	345.641593	9.32461598	1.57159783	0	16.8	0	0	3
77	37	0	1.20652201	336.309914	342.054351	336.309914	345.641593	9.33167941	1.57159783	0	16.8	0	0	3
78	37	0	1.22219113	336.294289	341.768941	336.294289	345.641593	9.34730455	1.57159783	0	16.8	0	0	3
79	38	0	1.23786025	335.594161	341.455017	335.594161	345.641593	9.23872751	1.57159783	0	17	0	0	3
80	38	0	1.25352936	335.590044	341.140922	335.590044	345.641593	8.19646864	1.57159783	0	19.1	0	0	3
81	38	0	1.26919848	335.582235	340.826567	335.582235	345.621348	7.22338855	1.57159783	0	21.7	0	0	3
82	38	0	1.2848676	335.574017	340.512588	335.574017	345.620662	6.30910494	1.57159783	0	24.9	0	0	3
83	38	0	1.30053671	334.874581	340.176773	334.874581	345.619669	5.45689645	1.57159783	0	28.8	0	0	3
84	39	0	1.31620583	334.870741	339.840869	334.870741	345.256243	4.67930727	1.57159783	0	33.5	0	0	3
85	39	0	1.33187495	334.86381	339.516105	334.86381	345.253896	4.33836262	1.57159783	0	36.2	0	0	3
86	39	0	1.34754406	334.857334	339.191213	334.857334	345.250805	4.6632552	1.57159783	0	33.7	0	0	3
87	39	0	1.36321318	334.31187	338.849371	334.31187	344.655819	5.00509692	1.57159783	0	31.3	0	0	3
88	39	0	1.3788823	334.309332	338.526043	334.309332	344.651221	5.32842462	1.57159783	0	29.4	0	0	3
89	40	0	1.39455142	334.303619	338.202681	334.303619	343.935352	5.65178716	1.57159783	0	27.8	0	0	3
90	40	0	1.41022053	334.298413	337.901526	334.298413	343.931608	5.9529415	1.57159783	0	26.4	0	0	3
91	40	0	1.42588965	333.730893	337.582754	333.730893	343.254426	6.27171387	1.57159783	0	25	0	0	3
92	40	0	1.44155877	333.729313	337.285094	333.729313	342.61581	6.56937364	1.57159783	0	23.9	0	0	3
93	40	0	1.45722788	333.723782	337.007218	333.723782	342.610746	6.84724952	1.57159783	0	22.9	0	0	3
94	41	0	1.472897	333.718772	336.729344	333.718772	341.82505	7.12512373	1.57159783	0	22	0	0	3
95	41	0	1.48856612	333.702308	336.475508	333.702308	341.819523	7.37895943	1.57159783	0	21.2	0	0	3
96	41	0	1.50423524	333.695744	336.22164	333.695744	341.065232	7.36948824	1.57159783	0	21.3	0	0	3
97	41	0	1.51990435	333.078421	335.972052	333.078421	340.409162	7.33074016	1.57159783	0	21.4	0	0	3
98	41	0	1.53557347	333.075903	335.742888	333.075903	340.40342	7.32751723	1.57159783	0	21.4	0	0	3
99	42	0	1.55124259	333.069669	335.513708	333.069669	339.560446	6.49077656	1.57159783	0	24.2	0	0	3
100	42	0	1.5669117	333.064932	335.310724	333.064932	339.55446	6.48952743	1.57159783	0	24.2	0	0	3
101	42	0	1.58258082	333.057026	335.107679	333.057026	338.797575	5.74054846	1.57159783	0	27.3	0	0	3
102	43	0	1.59824994	333.051373	334.92811	333.051373	338.783507	5.73213357	1.57159783	0	27.4	0	0	3
103	43	0	1.61391905	332.474349	334.730949	332.474349	337.982991	5.50864141	1.57159783	0	28.5	0	0	3
104	43	0	1.62958817	332.472936	334.55876	332.472936	337.96792	5.49498394	1.57159783	0	28.6	0	0	3
105	43	0	1.64525729	332.466465	334.386839	332.466465	337.16144	4.69497455	1.57159783	0	33.4	0	0	3
106	43	0	1.66092641	332.462494	334.239997	332.462494	337.154191	4.69169648	1.57159783	0	33.4	0	0	3
107	44	0	1.67659552	332.454522	334.093132	332.454522	336.316977	3.86245588	1.57159783	0	40.6	0	0	3
108	44	0	1.69226464	332.449203	333.972265	332.449203	336.309914	3.86071104	1.57159783	0	40.7	0	0	3
109	44	0	1.70793376	331.889858	333.834138	331.889858	336.294289	4.40443072	1.57159783	0	35.6	0	0	3
110	44	0	1.72360287	331.888793	333.696466	331.888793	335.594161	3.70536785	1.57159783	0	42.4	0	0	3
111	44	0	1.73927199	331.882811	333.580486	331.882811	335.590044	3.70723242	1.57159783	0	42.3	0	0	3
112	45	0	1.75494111	331.879591	333.464535	331.879591	335.582235	3.70264379	1.57159783	0	42.4	0	0	3
113	45	0	1.77061022	331.872593	333.348608	331.872593	335.574017	3.70142353	1.57159783	0	42.4	0	0	3
114	45	0	1.78627934	331.86827	333.232804	331.86827	334.874581	3.00631067	1.57159783	0	52.2	0	0	3
115	45	0	1.80194846	331.851655	333.138337	331.851655	334.870741	3.01908618	1.57159783	0	52	0	0	3
116	45	0	1.81761758	331.846891	333.043842	331.846891	334.86381	3.01691908	1.57159783	0	52	0	0	3
117	46	0	1.83328669	331.838682	332.949307	331.838682	334.857334	3.01865175	1.57159783	0	52	0	0	3
118	46	0	1.84895581	331.833218	332.854803	331.833218	334.31187	2.4786526	1.57159783	0	63.4	0	0	3
119	46	0	1.86462493	331.241611	332.758858	331.241611	334.309332	3.06772128	1.57159783	0	51.2	0	0	3
120	46	0	1.88029404	331.240723	332.662964	331.240723	334.303619	3.06289598	1.57159783	0	51.3	0	0	3
121	46	0	1.89596316	330.863794	332.555469	330.863794	334.298413	3.43461855	1.57159783	0	45.7	0	0	3
122	47	0	1.91163228	330.863955	332.448142	330.863794	333.730893	2.86709852	1.57159783	0	54.8	0	0	3
123	47	0	1.9273014	330.859581	332.358414	330.859581	333.729313	2.86973261	1.57159783	0	54.7	0	0	3
124	47	0	1.94297051	330.857705	332.268676	330.857705	333.723782	2.86607662	1.57159783	0	54.8	0	0	3
125	47	0	1.95863963	330.85252	332.178949	330.85252	333.718772	2.86625154	1.57159783	0	54.8	0	0	3
126	47	0	1.97430875	330.849399	332.089281	330.849399	333.702308	2.85290823	1.57159783	0	55	0	0	3
127	48	0	1.98997786	330.843502	331.999943	330.843502	333.695744	2.85224176	1.57159783	0	55.1	0	0	3
128	48	0	2.00564698	330.839733	331.910693	330.839733	333.078421	2.23868872	1.57159783	0	70.2	0	0	3
129	48	0	2.0213161	330.42928	331.827907	330.42928	333.075903	2.64662248	1.57159783	0	59.3	0	0	3
130	48	0	2.03698521	330.428743	331.745184	330.428743	333.069669	2.64092636	1.57159783	0	59.5	0	0	3
131	48	0	2.05265433	330.424779	331.662531	330.424779	333.064932	2.64015277	1.57159783	0	59.5	0	0	3
132	49	0	2.06832345	330.421807	331.579933	330.421807	333.057026	2.63521886	1.57159783	0	59.6	0	0	3
133	49	0	2.08399257	330.117933	331.488087	330.117933	333.051373	2.93343981	1.57159783	0	53.5	0	0	3
134	49	0	2.09966168	330.116669	331.396377	330.116669	332.474349	2.35768051	1.57159783	0	66.6	0	0	3
135	49	0	2.1153308	330.11265	331.322574	330.11265	332.472936	2.36028545	1.57159783	0	66.5	0	0	3
136	49	0	2.13099992	330.111067	331.248766	330.111067	332.466465	2.35539803	1.57159783	0	66.7	0	0	3
137	50	0	2.14666903	330.105855	331.174997	330.105855	332.462494	2.35663971	1.57159783	0	66.6	0	0	3
138	50	0	2.16233815	330.021532	331.098716	330.021532	332.454522	2.43298952	1.57159783	0	64.5	0	0	3
139	50	0	2.17800727	330.016121	331.022516	330.016121	332.449203	2.43308228	1.57159783	0	64.5	0	0	3
140	50	0	2.19367638	329.871118	330.941951	329.871118	331.889858	2.01873977	1.57159783	0	77.8	0	0	3
141	51	0	2.2093455	329.600652	330.870414	329.600652	331.888793	2.28814081	1.57159783	0	68.6	0	0	3
142	51	0	2.22501462	329.601452	330.798934	329.600652	331.882811	2.28215892	1.57159783	0	68.8	0	0	3
143	51	0	2.24068374	329.429008	330.722253	329.429008	331.879591	2.45058324	1.57159783	0	64.1	0	0	3
144	51	0	2.25635285	329.430804	330.645728	329.429008	331.872593	2.4435853	1.57159783	0	64.3	0	0	3
145	51	0	2.27202197	329.427889	330.569331	329.427889	331.86827	2.4403812	1.57159783	0	64.3	0	0	3
146	52	0	2.28769109	329.426258	330.493018	329.426258	331.851655	2.42539717	1.57159783	0	64.7	0	0	3
147	52	0	2.3033602	329.097659	330.406956	329.097659	331.846891	2.63688612	1.57159783	0	59.6	0	0	3
148	52	0	2.31902932	329.099504	330.3211	329.097659	331.838682	2.6282067	1.57159783	0	59.7	0	0	3
149	52	0	2.33469844	329.097074	330.235425	329.097074	331.833218	2.61937832	1.57159783	0	59.9	0	0	3
150	52	0	2.35036755	329.097474	330.149933	329.097074	331.241611	2.14453683	1.57159783	0	73.2	0	0	3
151	53	0	2.36603667	329.09424	330.082828	329.09424	331.240723	2.14648289	1.57159783	0	73.2	0	0	3
152	53	0	2.38170579	329.093467	330.015726	329.093467	330.863955	1.77048829	1.57159783	0	88.7	0	0	3
153	53	0	2.39737491	328.836586	329.952376	328.836586	330.863955	2.027369	1.57159783	0	77.5	0	0	3
154	53	0	2.41304402	328.837851	329.88906	328.836586	330.859581	2.02299496	1.57159783	0	77.6	0	0	3
155	53	0	2.42871314	328.700846	329.821599	328.700846	330.857705	2.15685911	1.57159783	0	72.8	0	0	3
156	54	0	2.44438226	328.701992	329.754233	328.700846	330.85252	2.15167418	1.57159783	0	73	0	0	3
157	54	0	2.46005137	328.539928	329.681965	328.539928	330.849399	2.30947099	1.57159783	0	68	0	0	3
158	54	0	2.47572049	328.541555	329.609845	328.539928	330.843502	2.30357361	1.57159783	0	68.2	0	0	3
159	54	0	2.49138961	328.539002	329.537829	328.539002	330.839733	2.30073039	1.57159783	0	68.3	0	0	3
160	54	0	2.50705873	328.539774	329.465955	328.539002	330.42928	1.89027825	1.57159783	0	83.1	0	0	3
161	55	0	2.52272784	328.536603	329.406809	328.536603	330.428743	1.89213945	1.57159783	0	83	0	0	3
162	55	0	2.53839696	328.536104	329.347664	328.536104	330.424779	1.8886759	1.57159783	0	83.2	0	0	3
163	55	0	2.55406608	328.532467	329.288529	328.532467	330.421807	1.88934055	1.57159783	0	83.1	0	0	3
164	55	0	2.56973519	328.531797	329.229467	328.531797	330.117933	1.58613647	1.57159783	0	99	0	0	3
165	55	0	2.58540431	328.527301	329.179759	328.527301	330.116669	1.58936777	1.57159783	0	98.8	0	0	3
166	56	0	2.60107343	328.526034	329.130052	328.526034	330.11265	1.58661601	1.57159783	0	99	0	0	3
167	56	0	2.61674254	328.52124	329.08032	328.52124	330.111067	1.58982746	1.57159783	0	98.8	0	0	3
168	56	0	2.63241166	328.519608	329.030587	328.519608	330.105855	1.58624659	1.57159783	0	99	0	0	3
169	56	0	2.64808078	328.211368	328.971385	328.211368	330.021532	1.81016443	1.57159783	0	86.8	0	0	3
170	57	0	2.6637499	328.211933	328.914835	328.211368	330.016121	1.80475307	1.57159783	0	87	0	0	3
171	57	0	2.67941901	327.997209	328.851744	327.997209	329.871118	1.87390971	1.57159783	0	83.8	0	0	3
172	57	0	2.69508813	328.089266	328.796061	327.997209	329.601452	1.60424284	1.57159783	0	97.9	0	0	3
173	57	0	2.71075725	328.086276	328.748736	327.997209	329.601452	1.60424284	1.57159783	0	97.9	0	0	3
174	57	0	2.72642636	328.086019	328.701379	327.997209	329.430804	1.43359506	1.57159783	0	100	0	0	3
175	58	0	2.74209548	327.837113	328.651632	327.837113	329.430804	1.59369097	1.57159783	0	98.6	0	0	3
176	58	0	2.7577646	327.838693	328.601879	327.837113	329.427889	1.59077613	1.57159783	0	98.7	0	0	3
177	58	0	2.77343371	327.68718	328.547482	327.68718	329.426258	1.73907762	1.57159783	0	90.3	0	0	3
178	58	0	2.78910283	327.68894	328.493191	327.68718	329.099504	1.41232395	1.57159783	0	100	0	0	3
179	58	0	2.80477195	327.686438	328.44909	327.686438	329.099504	1.41306613	1.57159783	0	100	0	0	3
180	59	0	2.82044107	327.687605	328.404968	327.686438	329.097474	1.4110358	1.57159783	0	100	0	0	3
181	59	0	2.83611018	327.683904	328.360807	327.683904	329.097474	1.41356969	1.57159783	0	100	0	0	3
182	59	0	2.8517793	327.703868	328.317256	327.683904	329.09424	1.41033612	1.57159783	0	100	0	0	3
183	59	0	2.86744842	327.69957	328.273673	327.683904	329.093467	1.40956224	1.57159783	0	100	0	0	3
184	59	0	2.88311753	327.699571	328.230114	327.683904	328.837851	1.15394699	1.57159783	0	100	0	0	3
185	60	0	2.89878665	327.695025	328.19444	327.683904	328.837851	1.15394699	1.57159783	0	100	0	0	3
186	60	0	2.91445577	327.651949	328.157381	327.651949	328.701992	1.05004298	1.57159783	0	100	0	0	3
187	60	0	2.93012489	327.647603	328.124467	327.647603	328.701992	1.05438827	1.57159783	0	100	0	0	3
188	60	0	2.945794	327.647307	328.091508	327.647307	328.541555	0.894247452	1.57159783	0	100	0	0	3
189	60	0	2.96146312	327.342024	328.054073	327.342024	328.541555	1.19953045	1.57159783	0	100	0	0	3
190	61	0	2.97713224	327.344532	328.016666	327.342024	328.539774	1.19774942	1.57159783	0	100	0	0	3
191	61	0	2.99280135	327.34165	327.979249	327.34165	328.539774	1.19812373	1.57159783	0	100	0	0	3
192	61	0	3.00847047	327.343219	327.941857	327.34165	328.536603	1.19495343	1.57159783	0	100	0	0	3
193	61	0	3.02413959	327.339495	327.904447	327.339495	328.536104	1.19660849	1.57159783	0	100	0	0	3
194	61	0	3.0398087	327.340658	327.867089	327.339495	328.532467	1.19297172	1.57159783	0	100	0	0	3
195	62	0	3.05547782	327.105489	327.822496	327.105489	328.531797	1.40697021	1.57159783	0	100	0	0	3
196	62	0	3.07114694	327.108283	327.778012	327.105489	328.527301	1.40174777	1.57159783	0	100	0	0	3
197	62	0	3.08681606	327.105891	327.733593	327.105489	328.526034	1.3964595	1.57159783	0	100	0	0	3
198	62	0	3.10248517	327.23824	327.693349	327.105489	328.52124	1.3869715	1.57159783	0	100	0	0	3
199	62	0	3.11815429	326.989896	327.645494	326.989896	328.519608	1.38509288	1.57159783	0	100	0	0	3
200	63	0	3.13382341	326.992793	327.597781	326.989896	328.211933	1.22203623	1.57159783	0	100	0	0	3
201	63	0	3.14949252	326.990672	327.559635	326.989896	328.211933	1.22203623	1.57159783	0	100	0	0	3
202	63	0	3.16516164	326.992879	327.521539	326.989896	328.089266	1.09936985	1.57159783	0	100	0	0	3
203	64	0	3.18083076	326.9901	327.490067	326.989896	328.089266	1.09936985	1.57159783	0	100	0	0	3
204	64	0	3.19649987	327.102791	327.45924	326.989896	328.086276	1.09637924	1.57159783	0	100	0	0	3
205	64	0	3.21216899	326.848616	327.420563	326.848616	328.086019	1.23740283	1.57159783	0	100	0	0	3
206	64	0	3.22783811	327.058282	327.388446	326.848616	327.838693	0.990076765	1.57159783	0	100	0	0	3
207	64	0	3.24350723	326.778376	327.355361	326.778376	327.838693	1.0603168	1.57159783	0	100	0	0	3
208	65	0	3.25917634	326.781537	327.322325	326.778376	327.703868	0.925491778	1.57159783	0	100	0	0	3
209	65	0	3.27484546	326.779578	327.293962	326.778376	327.703868	0.925491778	1.57159783	0	100	0	0	3
210	65	0	3.29051458	326.782267	327.265628	326.778376	327.703868	0.925491778	1.57159783	0	100	0	0	3
211	65	0	3.30618369	326.779718	327.237293	326.778376	327.703868	0.925491778	1.57159783	0	100	0	0	3
212	65	0	3.32185281	326.934732	327.213766	326.778376	327.703868	0.925491778	1.57159783	0	100	0	0	3
213	66	0	3.33752193	326.930904	327.190235	326.778376	327.703868	0.925491778	1.57159783	0	100	0	0	3
