Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	33	0	0.987154373	101319.143	101322.52	101319.143	101323.992	1.6605427	0	0	0	0	0	3
64	33	0	1.00282349	101318.719	101322.355	101318.719	101323.948	1.82532125	0.168569692	0	9.2	0	0	3
65	34	0	1.01849261	101318.196	101322.176	101318.196	101323.935	1.99721809	0.184268626	0	9.2	0	0	3
66	34	0	1.03416172	101317.609	101321.978	101317.609	101323.876	2.18301663	0.193074969	0	8.8	0	0	3
67	34	0	1.04983084	101317.007	101321.763	101317.007	101323.853	2.38590712	0.202022326	0	8.4	0	0	3
68	35	0	1.06549996	101316.429	101321.531	101316.429	101323.789	2.60263478	0.210836594	0	8.1	0	0	3
69	35	0	1.08116908	101315.866	101321.284	101315.866	101323.789	2.83380847	0.219501473	0	7.7	0	0	3
70	35	0	1.09683819	101315.223	101321.016	101315.223	101323.711	3.08192269	0.228495449	0	7.4	0	0	3
71	36	0	1.11250731	101314.476	101320.728	101314.476	101323.665	3.3494923	0.238120202	0	7.1	0	0	3
72	36	0	1.12817643	101313.666	101320.415	101313.666	101323.587	3.6394397	0.248265468	0	6.8	0	0	3
73	36	0	1.14384554	101312.832	101320.079	101312.832	101323.536	3.9516564	0.258910647	0	6.5	0	0	3
74	36	0	1.15951466	101311.935	101319.716	101311.935	101323.453	4.28871422	0.270021381	0	6.2	0	0	3
75	37	0	1.17518378	101310.966	101319.326	101310.966	101323.384	4.65147513	0.281739738	0	6	0	0	3
76	37	0	1.19085289	101310.216	101318.915	101310.216	101323.283	5.03322702	0.293309104	0	5.8	0	0	3
77	37	0	1.20652201	101309.534	101318.485	101309.534	101323.202	5.43069539	0.304666317	0	5.6	0	0	3
78	37	0	1.22219113	101308.926	101318.039	101308.926	101323.092	5.84171292	0.315666483	0	5.4	0	0	3
79	38	0	1.23786025	101308.471	101317.582	101308.471	101322.973	6.25984887	0.326104562	0	5.2	0	0	3
80	38	0	1.25352936	101308.097	101317.117	101308.097	101322.851	6.68252493	0.335917782	0	5	0	0	3
81	38	0	1.26919848	101307.828	101316.648	101307.828	101322.713	7.10557584	0.345045922	0	4.8	0	0	3
82	38	0	1.2848676	101307.622	101316.176	101307.622	101322.548	7.52601606	0.353481764	0	4.6	0	0	3
83	38	0	1.30053671	101307.519	101315.706	101307.519	101322.406	7.94022287	0.361185185	0	4.5	0	0	3
84	39	0	1.31620583	101307.468	101315.24	101307.468	101322.114	8.3429059	0.368174243	0	4.4	0	0	3
85	39	0	1.33187495	101307.554	101314.785	101307.468	101322.061	8.73217956	0.374494576	0	4.2	0	0	3
86	39	0	1.34754406	101307.777	101314.338	101307.468	101321.756	9.10391076	0.380214982	0	4.1	0	0	3
87	39	0	1.36321318	101308.102	101313.911	101307.468	101321.425	9.44576118	0.385429868	0	4	0	0	3
88	39	0	1.3788823	101308.39	101313.504	101307.468	101321.183	9.76133364	0.390184733	0	3.9	0	0	3
89	40	0	1.39455142	101308.589	101313.111	101307.468	101320.991	10.0574286	0.39454812	0	3.9	0	0	3
90	40	0	1.41022053	101308.735	101312.728	101307.468	101320.698	10.3343658	0.398555368	0	3.8	0	0	3
91	40	0	1.42588965	101308.804	101312.356	101307.468	101320.297	10.5879238	0.402249695	0	3.7	0	0	3
92	40	0	1.44155877	101308.802	101311.997	101307.468	101319.886	10.816906	0.405654517	0	3.7	0	0	3
93	40	0	1.45722788	101308.682	101311.647	101307.468	101319.507	11.0255759	0.408803715	0	3.7	0	0	3
94	41	0	1.472897	101308.524	101311.303	101307.468	101319.143	11.2169707	0.411711201	0	3.6	0	0	3
95	41	0	1.48856612	101308.331	101310.965	101307.468	101318.719	11.2510941	0.41442117	0	3.6	0	0	3
96	41	0	1.50423524	101308.167	101310.636	101307.468	101318.196	10.7277963	0.416920474	0	3.8	0	0	3
97	41	0	1.51990435	101308.047	101310.318	101307.468	101317.609	10.1407067	0.419256309	0	4.1	0	0	3
98	41	0	1.53557347	101308.012	101310.019	101307.468	101317.007	9.53951584	0.421403041	0	4.4	0	0	3
99	42	0	1.55124259	101308.056	101309.739	101307.468	101316.429	8.96077049	0.423407697	0	4.7	0	0	3
100	42	0	1.5669117	101308.145	101309.48	101307.468	101315.866	8.39805078	0.42524747	0	5	0	0	3
101	42	0	1.58258082	101308.228	101309.241	101307.468	101315.223	7.75457289	0.426987796	0	5.5	0	0	3
102	43	0	1.59824994	101308.298	101309.025	101307.468	101314.476	7.00779313	0.428574612	0	6.1	0	0	3
103	43	0	1.61391905	101308.331	101308.833	101307.468	101313.666	6.1978337	0.430044913	0	6.9	0	0	3
104	43	0	1.62958817	101308.312	101308.666	101307.468	101312.832	5.3636772	0.431383428	0	8	0	0	3
105	43	0	1.64525729	101308.271	101308.523	101307.468	101311.935	4.46674602	0.432618837	0	9.6	0	0	3
106	43	0	1.66092641	101308.18	101308.406	101307.468	101310.966	3.49802982	0.433736557	0	12.3	0	0	3
107	44	0	1.67659552	101308.144	101308.318	101307.468	101310.216	2.74804229	0.434754137	0	15.8	0	0	3
108	44	0	1.69226464	101308.091	101308.251	101307.468	101309.534	2.06566527	0.435656178	0	21	0	0	3
109	44	0	1.70793376	101308.111	101308.207	101307.468	101308.926	1.45805285	0.436464229	0	29.9	0	0	3
110	44	0	1.72360287	101308.104	101308.181	101307.468	101308.804	1.33589571	0.437165228	0	32.7	0	0	3
111	44	0	1.73927199	101308.186	101308.172	101307.468	101308.804	1.33589571	0.437760626	0	32.7	0	0	3
112	45	0	1.75494111	101308.192	101308.175	101307.468	101308.804	1.33589571	0.43825488	0	32.8	0	0	3
113	45	0	1.77061022	101308.221	101308.187	101307.468	101308.804	1.33589571	0.438644702	0	32.8	0	0	3
114	45	0	1.78627934	101308.212	101308.206	101307.468	101308.804	1.33589571	0.438919634	0	32.8	0	0	3
115	45	0	1.80194846	101308.192	101308.227	101307.468	101308.804	1.33589571	0.43910075	0	32.8	0	0	3
116	45	0	1.81761758	101308.165	101308.249	101307.554	101308.804	1.24961228	0.439106226	0	35.1	0	0	3
117	46	0	1.83328669	101308.178	101308.268	101307.777	101308.804	1.02729324	0.439081711	0	42.7	0	0	3
118	46	0	1.84895581	101308.146	101308.28	101308.012	101308.804	0.791704046	0.438888653	0	55.4	0	0	3
119	46	0	1.86462493	101308.189	101308.282	101308.012	101308.804	0.791704046	0.438521632	0	55.3	0	0	3
120	46	0	1.88029404	101308.183	101308.276	101308.012	101308.804	0.791704046	0.438038488	0	55.3	0	0	3
121	46	0	1.89596316	101308.209	101308.264	101308.012	101308.804	0.791704046	0.437471117	0	55.2	0	0	3
122	47	0	1.91163228	101308.207	101308.247	101308.012	101308.804	0.791704046	0.436771802	0	55.1	0	0	3
123	47	0	1.9273014	101308.244	101308.23	101308.012	101308.802	0.789755066	0.435892345	0	55.1	0	0	3
124	47	0	1.94297051	101308.19	101308.211	101308.012	101308.682	0.669737117	0.43483651	0	64.9	0	0	3
125	47	0	1.95863963	101308.198	101308.196	101308.012	101308.524	0.511587034	0.433629026	0	84.7	0	0	3
126	47	0	1.97430875	101308.189	101308.185	101308.012	101308.331	0.319124935	0.432284375	0	100	0	0	3
127	48	0	1.98997786	101308.208	101308.181	101308.012	101308.331	0.318577062	0.430780382	0	100	0	0	3
128	48	0	2.00564698	101308.219	101308.183	101308.012	101308.331	0.318577062	0.429078093	0	100	0	0	3
129	48	0	2.0213161	101308.235	101308.189	101308.012	101308.331	0.318577062	0.427157217	0	100	0	0	3
130	48	0	2.03698521	101308.232	101308.196	101308.056	101308.331	0.274293526	0.425021282	0	100	0	0	3
131	48	0	2.05265433	101308.245	101308.202	101308.091	101308.331	0.239759114	0.422689966	0	100	0	0	3
132	49	0	2.06832345	101308.223	101308.204	101308.091	101308.331	0.239759114	0.42017896	0	100	0	0	3
133	49	0	2.08399257	101308.217	101308.204	101308.091	101308.331	0.239759114	0.417460963	0	100	0	0	3
134	49	0	2.09966168	101308.225	101308.202	101308.091	101308.331	0.239759114	0.414500575	0	100	0	0	3
135	49	0	2.1153308	101308.25	101308.199	101308.091	101308.312	0.221454061	0.411281341	0	100	0	0	3
136	49	0	2.13099992	101308.24	101308.197	101308.091	101308.271	0.179660476	0.407803966	0	100	0	0	3
137	50	0	2.14666903	101308.24	101308.196	101308.091	101308.25	0.15874651	0.404053259	0	100	0	0	3
138	50	0	2.16233815	101308.256	101308.198	101308.091	101308.256	0.145479111	0.4000112	0	100	0	0	3
139	50	0	2.17800727	101308.252	101308.202	101308.091	101308.256	0.110253674	0.395776935	0	100	0	0	3
